frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score
148,8,533.9873288658436 585.1741407935593 794.0843071283131 810.8677508396439,614.026694243809 705.6020162330483 712.1604119066922 773.7580520341982,0
149,8,532.7527233788239 586.9896145397302 793.5069320311678 813.2899587554077,613.0284562020931 707.8458804724352 711.4546934883549 776.1823315890331,0
150,8,531.5181178918043 588.8050882859009 792.9295569340226 815.7121666711714,612.0302181603773 710.0897447118219 710.7489750700177 778.6066111438679,0
151,8,530.2835124047847 590.6205620320716 792.3521818368774 818.1343745869351,611.0319801186615 712.3336089512087 710.0432566516804 781.0308906987028,0
152,8,529.0489069177651 592.4360357782423 791.7748067397322 820.5565825026988,610.0337420769457 714.5774731905955 709.3375382333431 783.4551702535377,0
153,8,527.8143014307454 594.2515095244131 791.1974316425869 822.9787904184626,609.0355040352299 716.8213374299823 708.6318198150059 785.8794498083727,0
154,8,526.5796959437258 596.0669832705838 790.6200565454417 825.4009983342263,608.0372659935141 719.0652016693691 707.9261013966686 788.3037293632076,0
155,8,525.3450904567062 597.8824570167545 790.0426814482965 827.82320624999,607.0390279517984 721.3090659087559 707.2203829783314 790.7280089180424,0
156,8,524.1104849696866 599.6979307629252 789.4653063511513 830.2454141657538,606.0407899100826 723.5529301481427 706.5146645599941 793.1522884728773,0
157,8,522.875879482667 601.5134045090961 788.887931254006 832.6676220815175,605.0425518683668 725.7967943875295 705.8089461416569 795.5765680277123,0
158,8,521.6412739956473 603.3288782552668 788.3105561568609 835.0898299972812,604.044313826651 728.0406586269163 705.1032277233196 798.0008475825472,0
159,8,520.4066685086277 605.1443520014375 787.7331810597157 837.5120379130449,603.0460757849352 730.2845228663031 704.3975093049823 800.4251271373821,0
160,8,519.1720630216081 606.9598257476082 787.1558059625704 839.9342458288086,602.0478377432194 732.5283871056898 703.6917908866451 802.849406692217,0
161,8,517.9374575345885 608.775299493779 786.5784308654252 842.3564537445724,601.0495997015036 734.7722513450767 702.9860724683078 805.273686247052,0
162,8,516.7028520475687 610.5907732399497 786.00105576828 844.7786616603361,600.0513616597877 737.0161155844635 702.2803540499705 807.6979658018868,0
163,8,515.4682465605491 612.4062469861204 785.4236806711348 847.2008695760998,599.0531236180719 739.2599798238502 701.5746356316332 810.1222453567217,0
164,8,514.2336410735295 614.2217207322913 784.8463055739895 849.6230774918636,598.0548855763561 741.503844063237 700.868917213296 812.5465249115566,0
165,8,512.9990355865099 616.037194478462 784.2689304768443 852.0452854076273,597.0566475346403 743.7477083026238 700.1631987949587 814.9708044663915,0
166,8,511.76443009949026 617.8526682246327 783.6915553796991 854.467493323391,596.0584094929245 745.9915725420107 699.4574803766214 817.3950840212265,0
167,8,510.52982461247063 619.6681419708034 783.1141802825539 856.8897012391546,595.0601714512087 748.2354367813974 698.7517619582842 819.8193635760613,0
168,8,509.295219125451 621.4836157169741 782.5368051854086 859.3119091549185,594.0619334094929 750.4793010207842 698.0460435399469 822.2436431308962,0
169,8,508.0606136384314 623.2990894631449 781.9594300882635 861.7341170706821,593.0636953677771 752.723165260171 697.3403251216097 824.6679226857311,0
170,8,506.82600815141177 625.1145632093156 781.3820549911183 864.1563249864458,592.0654573260613 754.9670294995578 696.6346067032724 827.092202240566,0
171,8,505.59140266439215 626.9300369554863 780.804679893973 866.5785329022095,591.0672192843455 757.2108937389446 695.9288882849352 829.516481795401,0
