frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
126,3,750.8744911330693 679.6224637375691 1212.2396930729406 1050.0908125819637,912.4662475585938 861.853271484375 1060.1033935546875 919.2581176757812,0.5324557423591614,D 1805 FP,0.9987928867340088
127,3,749.8801663583943 679.4672096981018 1214.4424182639048 1049.3672429301268,909.2074584960938 863.3746948242188 1062.752685546875 922.5543823242188,0.5742033123970032,D 1805 FP,0.9988548159599304
128,3,748.3820166489759 680.6687187385086 1215.9079462190866 1052.3393196799148,911.25439453125 864.1419677734375 1072.18798828125 926.36376953125,0.5802231431007385,D 1805 FP,0.9983464479446412
129,3,747.5894376050129 681.1275897977125 1217.301500924991 1053.1525168437943,909.2611999511719 865.1681518554688 1072.1309204101562 926.4096069335938,0,D 1805 FP,0.9978119134902954
130,3,746.7968585610499 681.5864608569166 1218.6950556308952 1053.9657140076738,907.2680053710938 866.1943359375 1072.0738525390625 926.4554443359375,0.5520086884498596,D 1805 FP,0.9978119134902954
131,3,745.5445721566361 681.9821760725384 1219.6656358978657 1055.4910027065002,908.8086547851562 867.835693359375 1074.3729248046875 929.6568603515625,0.5692417025566101,D 1805 FP,0.9981365203857422
132,3,744.3089109163582 682.2884638160458 1220.4630054449701 1055.8083473623483,911.964111328125 872.3161010742188 1067.876953125 925.5397338867188,0.7004563212394714,D 1805 FP,0.9926337599754332
133,3,743.1569635788774 683.0896480900531 1221.2146165281536 1057.1521672918766,911.0366821289062 873.5908813476562 1058.00146484375 933.9281616210938,0.684940755367279,D 1805 FP,0.99860280752182
134,3,741.4957301158051 683.5223937792581 1221.9057311890374 1058.053013107538,910.9830322265625 874.4886474609375 1058.057373046875 933.3775634765625,0.6354359984397888,D 1805 FP,0.9988261461257936
135,3,739.5075599053276 683.4000406711513 1222.7303264203742 1058.9875904388564,912.0457763671875 874.2183837890625 1059.6075439453125 930.5643310546875,0.7489699125289917,D 1805 FP,0.991923213005066
136,3,738.2810098516787 683.7731146888225 1223.8151921534254 1060.6326046293493,909.8280029296875 875.3111572265625 1065.686279296875 936.5277099609375,0.5384185314178467,D 1805 FP,0.9982620477676392
137,3,737.1443329799222 683.8402192548998 1224.8909213801378 1061.4428426807567,912.8067626953125 869.7753295898438 1064.523193359375 935.8846435546875,0.6220250129699707,D 1805 FP,0.998015820980072
138,3,736.4628026581989 685.2047555604711 1226.2331010065702 1064.891628101237,911.4638671875 872.133544921875 1067.2236328125 936.0574951171875,0.769591212272644,D 1805 FP,0.998463213443756
139,3,736.8349785096648 684.4520718162362 1227.8342782335435 1065.7756393292007,906.8578491210938 873.6948852539062 1067.405029296875 935.9598999023438,0.6238313913345337,D 1805 FP,0.9985830187797546
140,3,736.3540056010236 684.7174637850446 1228.7976427157175 1067.162518414377,907.1867065429688 880.0570678710938 1071.927734375 935.0297241210938,0.5525182485580444,D 1805 FP,0.9906609654426576
141,3,735.9861727261354 684.8046764882033 1229.955294669379 1067.7425859428633,909.6824340820312 874.6957397460938 1071.3582763671875 936.8221435546875,0.6227772831916809,D 1805 FP,0.9947293996810912
