frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
87,72.0,[1253.1304499520938 833.7373799711175 1441.7627585754144 1073.8576300717705],[1343.981689453125 899.6973266601562 1433.58154296875 963.6212768554688],0.5404682755470276,D 2162 ZUA,0.9000983238220215
89,72.0,[1249.9835317721784 823.7468808318215 1436.3840750334932 1063.127824263067],[1349.6920166015625 899.8804321289062 1429.2127685546875 961.9619750976562],0.6319498419761658,D 2162 ZUA,0.7931896448135376
95,94.0,[574.6815753520757 786.7570604515615 742.6885770899937 1053.833832248966],[581.8167114257812 882.5121459960938 667.781982421875 969.7164916992188],0.7183865308761597,D 2695 MZ,0.903968334197998
96,94.0,[576.3348271985229 788.3272474444718 740.5174870742243 1051.9009278852902],[582.1206665039062 882.2757568359375 667.7979125976562 969.1395263671875],0.7171007990837097,D 2695 MZ,0.9496489763259888
99,94.0,[580.7331118731214 787.3986029154769 739.5689806680097 1045.0931560914998],[588.4282836914062 878.4116821289062 672.2217407226562 939.5700073242188],0.6338580250740051,D 2695 ,0.9673479199409485
100,3.0,[795.1864584894226 680.5848151958312 1171.3167010490768 991.4788307279623],[925.9414672851562 820.3258666992188 1061.42724609375 882.2587280273438],0.5003277659416199,1805,0.9990717172622681
102,3.0,[791.4914902101788 682.1824397712601 1174.4375649969213 993.7087251804473],[925.5814819335938 822.2946166992188 1057.3876953125 886.6312866210938],0.6514639854431152,1805,0.9991042613983154
107,94.0,[586.3960297653177 798.2371516127228 731.9685406673159 1026.189208173248],[600.2051391601562 860.6839599609375 682.0723266601562 923.5235595703125],0.726797342300415,D 2695 ,0.9252261519432068
112,94.0,[593.9682499245686 782.6568440063263 743.2875168099116 1010.4944492265201],[594.7298583984375 854.8536987304688 674.9628295898438 914.8280639648438],0.5444732308387756,D 2695 ,0.8392501473426819
115,3.0,[770.4760909581698 685.3674993644977 1196.4220607685093 1028.7356120998882],[919.9200439453125 844.5311279296875 1056.3934326171875 911.761962890625],0.63841313123703,1805,0.99837327003479
116,3.0,[768.8355556921927 683.9352230227834 1197.8682550307155 1028.3801510166923],[913.9727783203125 847.5800170898438 1053.885498046875 908.2227172851562],0.5370534658432007,1805,0.9959208965301514
117,3.0,[766.9109797755368 683.0353083761861 1199.0687363181376 1028.6624988042458],[915.3894653320312 844.67431640625 1065.3670654296875 909.947021484375],0.6601525545120239,1805,0.9981692433357239
119,3.0,[763.7197717273177 679.8147539295446 1202.2139281735388 1034.7355654832024],[916.8798217773438 845.3522338867188 1059.8773193359375 912.3464965820312],0.6650353670120239,FP,0.9953140020370483
120,3.0,[761.9908600145346 680.5791612937745 1203.681018606737 1036.5195154628486],[914.4589233398438 848.63671875 1061.102783203125 913.171875],0.5327034592628479,1805,0.9988440275192261
121,3.0,[759.2492352135997 682.4835348413236 1204.7623241876158 1043.5653663009593],[916.5023803710938 856.0506591796875 1055.529541015625 913.140380859375],0.7234165072441101,1805,0.9971315264701843
122,94.0,[596.2338344074692 774.9343756740441 736.4485214918232 991.7388092409817],[600.9608154296875 846.0814819335938 681.0068359375 909.5095825195312],0.7109406590461731,D 2695 ,0.7685153484344482
124,3.0,[753.5903202942341 681.2591339444004 1209.0641714460685 1050.686391688454],[913.02783203125 861.7666625976562 1060.93896484375 914.0443725585938],0.5446617007255554,D 1805 FP,0.9919809103012085
125,3.0,[752.0603231453454 680.6016360929075 1210.6446472737275 1050.6809793513191],[906.8908081054688 862.03857421875 1072.861572265625 922.349853515625],0.6836869716644287,D 1805 FP,0.9956555366516113
126,3.0,[750.8744911330693 679.6224637375691 1212.2396930729406 1050.0908125819637],[912.4662475585938 861.853271484375 1060.1033935546875 919.2581176757812],0.5324557423591614,D 1805 FP,0.9987928867340088
127,3.0,[749.8801663583943 679.4672096981018 1214.4424182639048 1049.3672429301268],[909.2074584960938 863.3746948242188 1062.752685546875 922.5543823242188],0.5742033123970032,D 1805 FP,0.9988548159599304
128,3.0,[748.3820166489759 680.6687187385086 1215.9079462190866 1052.3393196799148],[911.25439453125 864.1419677734375 1072.18798828125 926.36376953125],0.5802231431007385,D 1805 FP,0.9983464479446411
130,3.0,[746.7968585610499 681.5864608569166 1218.6950556308952 1053.9657140076738],[907.2680053710938 866.1943359375 1072.0738525390625 926.4554443359375],0.5520086884498596,D 1805 FP,0.9978119134902954
131,3.0,[745.5445721566361 681.9821760725384 1219.6656358978657 1055.4910027065002],[908.8086547851562 867.835693359375 1074.3729248046875 929.6568603515625],0.5692417025566101,D 1805 FP,0.9981365203857422
132,3.0,[744.3089109163582 682.2884638160458 1220.4630054449701 1055.8083473623483],[911.964111328125 872.3161010742188 1067.876953125 925.5397338867188],0.7004563212394714,D 1805 FP,0.9926337599754333
133,3.0,[743.1569635788774 683.0896480900531 1221.2146165281536 1057.1521672918766],[911.0366821289062 873.5908813476562 1058.00146484375 933.9281616210938],0.684940755367279,D 1805 FP,0.9986028075218201
134,3.0,[741.4957301158051 683.5223937792581 1221.9057311890374 1058.053013107538],[910.9830322265625 874.4886474609375 1058.057373046875 933.3775634765625],0.6354359984397888,D 1805 FP,0.9988261461257935
135,3.0,[739.5075599053276 683.4000406711513 1222.7303264203742 1058.9875904388564],[912.0457763671875 874.2183837890625 1059.6075439453125 930.5643310546875],0.7489699125289917,D 1805 FP,0.9919232130050659
136,3.0,[738.2810098516787 683.7731146888225 1223.8151921534254 1060.6326046293493],[909.8280029296875 875.3111572265625 1065.686279296875 936.5277099609375],0.5384185314178467,D 1805 FP,0.9982620477676392
137,3.0,[737.1443329799222 683.8402192548998 1224.8909213801378 1061.4428426807567],[912.8067626953125 869.7753295898438 1064.523193359375 935.8846435546875],0.6220250129699707,D 1805 FP,0.998015820980072
